station_cd,station_g_cd,station_name,line_cd,pref_cd,post,add,lon,lat,conect1,conect2,conect3,conect4,conect5,conect6,conect7,conect8,conect9,conect10,conect11,conect12,conect13,conect14,conect15,conect16,conect17,conect18,conect19,conect20,conect21,conect22,conect23,conect24,conect25,conect26,conect27,conect28,conect29,conect30,conect31,conect32,conect33,conect34,conect35,conect36,conect37,conect38,conect39,conect40,conect41,conect42,conect43,conect44,conect45,conect46,conect47,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost9,cost10,cost11,cost12,cost13,cost14,cost15,cost16,cost17,cost18,cost19,cost20,cost21,cost22,cost23,cost24,cost25,cost26,cost27,cost28,cost29,cost30,cost31,cost32,cost33,cost34,cost35,cost36,cost37,cost38,cost39,cost40,cost41,cost42,cost43,cost44,cost45,cost46,cost47
1151004,1151004,津,11510,24,514-0009,津市羽所町,136.510486,34.73422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160101,1141501,米�,11601,25,521-0012,米原市米�,136.289992,35.314657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160120,1160120,京都,11601,26,600-8216,京都市下京区烏丸通塩小路下ル東塩小路町,135.757748,34.985465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160214,1160214,大阪,11602,27,530-0001,大阪市北区梅田��丁目,135.495188,34.702398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160313,1160313,三ノ宮,11603,28,651-0097,神戸市中央区帼�町,135.195058,34.694766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160704,1160704,奈良,11607,29,630-8122,奈良市三条本町,135.818935,34.680482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162635,1162635,和歌山,11626,30,640-8331,和歌山市美園町,135.191454,34.232436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170401,1161619,鳥�,11704,31,680-0835,鳥取市東品治町,134.225901,35.493953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170106,1170106,松�,11701,32,690-0003,松江市朝日町,133.063871,35.463947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170301,1160917,岡山,11703,33,700-0024,岡山市駅元町��丁目,133.918552,34.666572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9970404,9970404,福�,99704,33,710-0844,倉敷市福井３９�-�,133.744495,34.569804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171446,1161115,庳�,11714,34,732-0822,庳�市南区松原町,132.475593,34.397446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190201,1161236,下関,11902,35,750-0025,下関市大字竹崎町��丁目,130.923038,33.950306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180229,1180229,徳島,11802,36,770-0831,徳島市寺島本町西��丁目,134.551391,34.074572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180601,1180201,高松,11806,37,760-0011,高松市浜ノ町,134.046821,34.350754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180657,1180657,松山,11806,38,790-0062,松山市南江戸��丁目,132.751149,33.839954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180134,1180134,高知,11801,39,780-0056,高知市北本町��丁目,133.543522,33.566758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190101,1190101,博�,11901,40,812-0012,福岡市博多区博多駅中央�,130.420622,33.590002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190507,1190507,佐賀,11905,41,840-0801,佐賀市駅前中央��丁目,130.297608,33.264212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190541,1190541,長�,11905,42,850-0058,長崎市尾上町,129.870515,32.753085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192301,1190341,熊本,11923,43,860-0047,熊本市春日��丁目,130.688499,32.789207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192337,1190643,大�,11923,44,870-0831,大券�要町,131.606595,33.232794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192801,1190729,宮�,11928,45,880-0811,宮崎市錦町,131.431975,31.915742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193001,1190411,鹿児島中央,11930,46,890-0053,鹿児島市中央町,130.541789,31.583727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9992701,9992701,那覇空港,99927,47,901-0142,那覇市字鏡水��３�-�,127.652214,26.206515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
